"Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","20200324","imported_sum","volume","risk"
"Gibraltar","GIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3372.8,3371.8,3802073,37529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8.8790962323109e-05
"Guinea","GIN",99000,99000,NA,NA,7913,8695,2,2,4,0,855.573639877367,878.599613250501,49.1109352108091,50.5222122741332,1227257924,1331697951.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3455,0.0255643979021951
"Gambia, The","GMB",522000,552000,NA,NA,2188,2616,NA,NA,NA,NA,679.777332561109,716.118488979126,218.764229249012,225.30652173913,397777226,91742266.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,365,0.00270072510399456
"Guinea-Bissau","GNB",NA,NA,NA,NA,630,697,NA,NA,NA,NA,736.725566231783,777.969921802522,65.0123044096728,66.6539473684211,33088287,367486.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0.000384760836733472
"Equatorial Guinea","GNQ",NA,NA,NA,NA,1317,1648,NA,NA,NA,NA,9738.43422416926,10261.7600116887,44.9911229946524,46.6657397504456,165266259,1368984569.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,1864,0.0137921961475229
"Greece","GRC",27194000,30123000,319268,366053,42198,44949,45,171,216,1,18883.4600669282,20324.2535641478,83.4342823894492,83.2247323506594,3163113090.21,338664738.17,0,0,0,0,0,0,0,0,0,0,0,0,9,46,418,743,1,19600,0.145025238461078
"Grenada","GRD",168000,185000,458,621,2039,2036,NA,NA,NA,NA,10163.6298527725,10640.496760331,326.1,327.805882352941,10518798,10680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,8.13917154628499e-05
"Greenland","GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136852235351444,0.136496528200755,2298525,132614307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala","GTM",1660000,1781000,NA,NA,3651,3587,6,37,43,0,4470.60999392312,4549.01008110721,157.847480403136,160.953779395297,1954591890,101338457.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,137,0.00101369681985549
"Guam","GUM",1545000,1549000,21954,16339,NA,NA,NA,NA,NA,NA,35615.8046274371,35712.5621350321,304.224074074074,306.977777777778,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5272,0.0390088294472859
